time,duty,rpm
3.681,-0.249,-14251
3.733,-0.25,-14253
3.785,-0.249,-14238
3.837,-0.249,-14168
3.889,-0.249,-14061
3.941,-0.249,-13934
3.993,-0.249,-13806
4.044,-0.249,-13676
4.096,-0.249,-13553
4.148,-0.25,-13441
4.2,-0.249,-13362
4.252,-0.249,-13319
4.303,-0.249,-13328
4.355,-0.249,-13364
4.407,-0.249,-13438
4.459,-0.249,-13550
4.51,-0.25,-13679
4.562,-0.249,-13785
4.614,-0.249,-13882
4.666,-0.249,-13975
4.718,-0.249,-14059
4.769,-0.249,-14140
4.821,-0.25,-14219
4.873,-0.249,-14269
4.925,-0.249,-14286
4.977,-0.249,-14275
5.029,-0.249,-14224
5.08,-0.249,-14141
5.132,-0.249,-14035
5.184,-0.249,-13933
5.236,-0.249,-13823
5.287,-0.249,-13713
5.339,-0.25,-13614
5.391,-0.249,-13537
5.443,-0.249,-13489
5.494,-0.249,-13487
5.546,-0.25,-13524
5.598,-0.249,-13593
5.65,-0.249,-13712
5.701,-0.249,-13851
5.753,-0.249,-13990
5.805,-0.25,-14130
5.857,-0.249,-14251
5.909,-0.249,-14351
5.961,-0.249,-14432
6.012,-0.249,-14491
6.064,-0.25,-14536
6.116,-0.249,-14558
6.168,-0.249,-14567
6.22,-0.25,-14519
6.271,-0.249,-14419
6.323,-0.249,-14274
6.375,-0.249,-14130
6.427,-0.249,-14000
6.479,-0.249,-13896
6.531,-0.249,-13825
6.583,-0.25,-13783
6.634,-0.249,-13784
6.686,-0.249,-13821
6.738,-0.249,-13898
6.79,-0.25,-14011
6.842,-0.249,-14146
6.894,-0.249,-14287
6.946,-0.249,-14418
6.997,-0.249,-14534
7.049,-0.249,-14630
7.101,-0.249,-14717
7.153,-0.249,-14781
7.205,-0.249,-14812
7.256,-0.249,-14805
7.308,-0.249,-14774
7.36,-0.249,-14718
7.412,-0.249,-14612
7.464,-0.249,-14470
7.515,-0.25,-14291
7.567,-0.249,-14112
7.619,-0.249,-13950
7.671,-0.249,-13822
7.723,-0.249,-13736
7.774,-0.249,-13696
7.826,-0.249,-13710
7.878,-0.25,-13773
7.93,-0.249,-13886
7.982,-0.249,-14030
8.034,-0.249,-14169
8.086,-0.249,-14305
8.137,-0.25,-14441
8.189,-0.249,-14544
8.241,-0.25,-14633
8.293,-0.249,-14695
8.345,-0.249,-14731
8.397,-0.25,-14737
8.448,-0.25,-14694
8.5,-0.25,-14610
8.552,-0.249,-14478
8.604,-0.25,-14317
8.655,-0.249,-14135
8.707,-0.25,-13951
8.759,-0.249,-13792
8.811,-0.249,-13659
8.863,-0.249,-13566
8.915,-0.249,-13503
8.966,-0.25,-13495
9.018,-0.249,-13535
9.07,-0.25,-13623
9.122,-0.249,-13749
9.174,-0.249,-13888
9.226,-0.249,-14015
9.277,-0.249,-14136
9.329,-0.249,-14214
9.381,-0.249,-14240
9.433,-0.249,-14238
9.485,-0.25,-14264
9.536,-0.25,-14273
9.588,-0.25,-14247
9.64,-0.249,-14192
9.692,-0.249,-14093
9.744,-0.249,-13943
9.796,-0.25,-13745
9.848,-0.249,-13539
9.9,-0.249,-13325
9.951,-0.249,-13129
10.004,-0.249,-12975
10.056,-0.25,-12881
10.107,-0.249,-12844
10.159,-0.249,-12850
10.211,-0.25,-12916
10.263,-0.249,-13029
10.314,-0.249,-13194
10.367,-0.249,-13387
10.419,-0.249,-13573
10.47,-0.249,-13754
10.522,-0.249,-13923
10.574,-0.249,-14060
10.626,-0.249,-14173
10.679,-0.249,-14256
10.731,-0.249,-14321
10.783,-0.249,-14352
10.834,-0.25,-14327
10.887,-0.25,-14214
10.939,-0.249,-14043
10.99,-0.249,-13824
11.043,-0.25,-13599
11.095,-0.249,-13399
11.147,-0.249,-13231
11.199,-0.249,-13094
11.251,-0.249,-13008
11.303,-0.249,-12974
11.354,-0.249,-12992
11.406,-0.249,-13050
11.458,-0.249,-13148
11.51,-0.249,-13283
11.562,-0.249,-13445
11.614,-0.249,-13609
11.665,-0.25,-13775
11.717,-0.249,-13919
11.769,-0.25,-14035
11.821,-0.249,-14128
11.873,-0.25,-14202
11.925,-0.249,-14278
11.977,-0.249,-14325
12.029,-0.249,-14317
12.081,-0.249,-14243
12.133,-0.25,-14099
12.185,-0.249,-13913
12.236,-0.25,-13697
12.288,-0.249,-13467
12.341,-0.249,-13245
12.392,-0.249,-13071
12.445,-0.249,-12963
12.497,-0.249,-12932
12.548,-0.249,-12956
12.6,-0.249,-13029
12.653,-0.25,-13158
12.705,-0.249,-13325
12.757,-0.249,-13512
12.808,-0.249,-13684
12.86,-0.249,-13849
12.912,-0.249,-13982
12.964,-0.25,-14080
13.015,-0.249,-14153
13.067,-0.249,-14207
13.119,-0.249,-14235
